Timestamp,Seq,Movement,Phase,Rep,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6
0.0022,12384,Rest,HAZIRLIK,0,0,18,17,0,0,0
0.0028,12385,Rest,HAZIRLIK,0,0,4,2,0,0,0
0.0028,12386,Rest,HAZIRLIK,0,0,0,0,0,1,0
0.0028,12387,Rest,HAZIRLIK,0,0,0,0,0,1,0
0.0028,12388,Rest,HAZIRLIK,0,0,0,0,0,3,0
0.0028,12389,Rest,HAZIRLIK,0,0,0,0,0,9,1
0.0029,12390,Rest,HAZIRLIK,0,0,0,0,0,13,3
0.0029,12391,Rest,HAZIRLIK,0,0,0,0,0,9,1
0.0029,12392,Rest,HAZIRLIK,0,0,0,0,52,2,0
0.0029,12393,Rest,HAZIRLIK,0,0,0,0,115,4,0
0.0029,12394,Rest,HAZIRLIK,0,1,0,0,170,8,0
0.0029,12395,Rest,HAZIRLIK,0,14,0,0,220,4,0
0.0029,12396,Rest,HAZIRLIK,0,21,0,0,269,0,0
0.0030,12397,Rest,HAZIRLIK,0,23,0,0,314,0,5
0.0030,12398,Rest,HAZIRLIK,0,28,0,0,347,0,15
0.0030,12399,Rest,HAZIRLIK,0,47,0,0,367,1,18
0.0030,12400,Rest,HAZIRLIK,0,75,0,0,373,1,12
0.0031,12401,Rest,HAZIRLIK,0,107,0,0,366,4,7
0.0031,12402,Rest,HAZIRLIK,0,139,0,0,347,9,8
0.0031,12403,Rest,HAZIRLIK,0,170,0,0,326,9,6
0.0031,12404,Rest,HAZIRLIK,0,202,0,0,312,4,0
0.0032,12405,Rest,HAZIRLIK,0,233,9,13,297,0,0
0.0032,12406,Rest,HAZIRLIK,0,262,25,30,259,0,0
0.0032,12407,Rest,HAZIRLIK,0,284,41,44,196,0,0
0.0032,12408,Rest,HAZIRLIK,0,299,56,57,128,0,0
0.0032,12409,Rest,HAZIRLIK,0,308,68,74,56,0,0
0.0032,12410,Rest,HAZIRLIK,0,310,77,88,0,0,0
0.0038,12411,Rest,HAZIRLIK,0,306,85,95,0,0,0
0.0038,12412,Rest,HAZIRLIK,0,297,92,97,0,0,0
0.0044,12413,Rest,HAZIRLIK,0,281,95,98,0,0,0
0.0047,12414,Rest,HAZIRLIK,0,255,94,96,0,0,1
0.0373,12415,Rest,HAZIRLANIYOR...,0,219,90,90,0,0,6
0.0374,12416,Rest,HAZIRLANIYOR...,0,176,86,83,0,0,1
0.0374,12417,Rest,HAZIRLANIYOR...,0,127,82,75,0,0,0
0.0374,12418,Rest,HAZIRLANIYOR...,0,74,72,63,0,0,0
0.0375,12419,Rest,HAZIRLANIYOR...,0,22,58,49,0,0,0
0.0375,12420,Rest,HAZIRLANIYOR...,0,0,42,34,0,0,0
0.0375,12421,Rest,HAZIRLANIYOR...,0,0,27,19,0,0,0
0.0375,12422,Rest,HAZIRLANIYOR...,0,0,13,4,0,0,0
0.0400,12423,Rest,HAZIRLANIYOR...,0,0,0,0,0,1,0
0.0400,12424,Rest,HAZIRLANIYOR...,0,0,0,0,0,2,0
0.0401,12425,Rest,HAZIRLANIYOR...,0,0,0,0,0,3,0
0.0401,12426,Rest,HAZIRLANIYOR...,0,0,0,0,0,3,0
0.0401,12427,Rest,HAZIRLANIYOR...,0,0,0,0,26,4,0
0.0401,12428,Rest,HAZIRLANIYOR...,0,0,0,0,95,4,1
0.0401,12429,Rest,HAZIRLANIYOR...,0,0,0,0,156,3,4
0.0402,12430,Rest,HAZIRLANIYOR...,0,0,0,0,202,3,9
0.0402,12431,Rest,HAZIRLANIYOR...,0,0,0,0,244,4,13
0.0402,12432,Rest,HAZIRLANIYOR...,0,0,0,0,295,5,7
0.0402,12433,Rest,HAZIRLANIYOR...,0,0,0,0,350,5,0
0.0402,12434,Rest,HAZIRLANIYOR...,0,0,0,0,386,3,0
0.0402,12435,Rest,HAZIRLANIYOR...,0,0,0,0,390,0,0
0.0403,12436,Rest,HAZIRLANIYOR...,0,0,0,0,372,0,1
0.0403,12437,Rest,HAZIRLANIYOR...,0,0,0,0,351,0,1
0.0403,12438,Rest,HAZIRLANIYOR...,0,27,0,8,334,0,0
0.0403,12439,Rest,HAZIRLANIYOR...,0,51,0,12,326,0,0
0.0403,12440,Rest,HAZIRLANIYOR...,0,70,11,17,318,0,0
0.0403,12441,Rest,HAZIRLANIYOR...,0,83,25,23,292,0,0
0.0404,12442,Rest,HAZIRLANIYOR...,0,95,36,30,240,1,0
0.0404,12443,Rest,HAZIRLANIYOR...,0,102,47,35,165,5,0
0.0404,12444,Rest,HAZIRLANIYOR...,0,102,58,38,80,8,0
