Movement,Sensor,RMS,Variance,Peak-to-Peak,Zero Crossing Rate,SNR Estimate
Fist,EMG1,29068.676837337098,848395973.428421,65535.0,0.15350000000000003,7755.433882666775
Fist,EMG2,30577.343574043316,937329385.530439,65533.4,0.0502,4.992961797884188
Fist,EMG3,14070.55429543662,330161717.2857019,65535.0,0.0126,0.0
Fist,EMG4,32707.456654997,1069780738.6055208,65535.0,0.1615,617.2761048468975
Fist,EMG5,32712.182673293893,1070087123.2102916,65535.0,0.0781,1143.7546816945319
Fist,EMG6,32527.21662209702,1058034944.5254434,65535.0,0.1897,2450.237272108595
Grasp,EMG1,29636.466681462392,878481151.3770473,65535.0,0.1978,19989.522920182382
Grasp,EMG2,31340.76166488278,982243352.7556841,65531.2,0.0563,6.271268355795768
Grasp,EMG3,4418.413914325591,21742237.803500455,65535.0,0.0029000000000000002,0.0
Grasp,EMG4,32627.884856036537,1064579031.3198897,65535.0,0.05650000000000001,242.9611185636041
Grasp,EMG5,32723.09789961981,1070801379.9357042,65535.0,0.0844,1099.808526134161
Grasp,EMG6,32557.947910285504,1060024300.1790421,65535.0,0.19729999999999998,2204.641871540891
OK,EMG1,29253.850624232808,856417373.8255327,65535.0,0.1732,17661.218114550735
OK,EMG2,31370.35224832825,984100691.3425146,65529.6,0.055600000000000004,6.277968696144834
OK,EMG3,25675.80508166602,771565908.4372947,65535.0,0.0356,9.154162805164049
OK,EMG4,30629.80334759545,953648838.0606391,65535.0,0.0495,115.7844633949167
OK,EMG5,32713.60376590501,1070179936.3040018,65535.0,0.0877,1044.9766137355987
OK,EMG6,32548.345727146283,1059403795.004381,65535.0,0.19390000000000002,2264.4790727417394
Open,EMG1,28992.400012797094,840588215.096829,65535.0,0.17570000000000002,19555.105903680764
Open,EMG2,31342.926252487086,982379034.8632816,65531.0,0.05620000000000001,6.317497562677247
Open,EMG3,4764.543221808217,23473605.57974465,65535.0,0.0038000000000000004,0.0
Open,EMG4,32712.65851833785,1070118311.9613855,65535.0,0.2314,906.2594126519292
Open,EMG5,32716.83031790368,1070391505.0422411,65535.0,0.08220000000000001,1102.1956134360748
Open,EMG6,32515.768277837713,1057279229.9191883,65535.0,0.19,2374.2651977523237
Pinch,EMG1,28687.084766491615,823208303.9276036,65535.0,0.17819999999999997,15606.423837841246
Pinch,EMG2,31344.444865642967,982474225.0522175,65532.0,0.05670000000000001,6.253851500714973
Pinch,EMG3,4146.051489560971,22173083.530714195,52428.0,0.0036000000000000003,0.0
Pinch,EMG4,32614.85140438581,1063728670.099107,65534.8,0.05620000000000001,235.86015929901774
Pinch,EMG5,32705.451665334265,1069646877.7835906,65535.0,0.08620000000000001,1189.605678267948
Pinch,EMG6,32538.533672369704,1058758806.8856786,65535.0,0.20199999999999996,2300.8342771906846
Point,EMG1,29571.071775351178,875103498.3948021,65535.0,0.17909999999999998,16140.68820834756
Point,EMG2,31346.49300143054,982602636.7541502,65533.8,0.0563,6.317301426709077
Point,EMG3,4445.7835511129315,21749085.63532295,65535.0,0.0021999999999999997,0.0
Point,EMG4,32737.38577026412,1071736651.8018042,65535.0,0.2253,732.5157556770507
Point,EMG5,32704.744411305932,1069600687.6291844,65535.0,0.0844,1176.6789593201806
Point,EMG6,32538.65399099605,1058768441.6333927,65535.0,0.1873,2450.408584928549
Rest,EMG1,29785.25650744824,887376198.3397745,65535.0,0.2056,20089.880282913957
Rest,EMG2,31351.425240960634,982912230.0294049,65530.2,0.05620000000000001,6.2854980320716995
Rest,EMG3,5790.944631328825,33655848.63242465,65535.0,0.005200000000000001,0.0
Rest,EMG4,32659.97448799055,1066677127.6553104,65535.0,0.12530000000000002,463.0071524574046
Rest,EMG5,32728.090923172258,1071128131.1718136,65535.0,0.08270000000000001,1031.4532360962469
Rest,EMG6,32456.371620925253,1053428753.0795149,65535.0,0.1876,2550.3382373306645
ThumbDn,EMG1,30046.566419778967,905280801.7080857,65535.0,0.17429999999999998,12493.09730628995
ThumbDn,EMG2,31342.1316046561,982329241.6110929,65531.2,0.0563,6.35532805505993
ThumbDn,EMG3,7591.073981407212,165185392.73303854,39321.0,0.0067,0.0
ThumbDn,EMG4,32628.433554305102,1064616061.0025934,65535.0,0.05600000000000001,163.50656404939977
ThumbDn,EMG5,32714.15458361238,1070216201.5886291,65535.0,0.0824,1066.7041578911278
ThumbDn,EMG6,32516.286659476064,1057310091.1151202,65535.0,0.197,2400.141347253334
ThumbUp,EMG1,30741.836154766876,945990246.7910982,65535.0,0.1638,12354.784025627014
ThumbUp,EMG2,31340.889896166154,982251384.1736727,65531.6,0.05650000000000001,6.064853816921294
ThumbUp,EMG3,5031.286257971349,26845153.058639698,65535.0,0.0033999999999999994,0.0
ThumbUp,EMG4,32629.595860848774,1064690731.0279528,65535.0,0.0563,227.34872084823255
ThumbUp,EMG5,32721.44397246635,1070693219.0924135,65535.0,0.0779,993.6986256339238
ThumbUp,EMG6,32518.668015173578,1057468777.7931769,65535.0,0.186,2513.3218396298917
