Timestamp,Seq,Movement,Phase,Rep,EMG1,EMG2,EMG3,EMG4,EMG5,EMG6
0.0000,0,Rest,HAZIRLIK,0,101,0,0,55,467,313
0.0001,1,Rest,HAZIRLIK,0,99,0,0,46,333,173
0.0001,2,Rest,HAZIRLIK,0,101,0,0,41,234,91
0.0001,3,Rest,HAZIRLIK,0,99,0,0,42,172,59
0.0001,4,Rest,HAZIRLIK,0,103,0,0,42,163,71
0.0001,5,Rest,HAZIRLIK,0,111,0,0,43,110,72
0.0001,6,Rest,HAZIRLIK,0,159,0,103,35,94,39
0.0001,7,Rest,HAZIRLIK,0,790,0,973,73,103,43
0.0002,8,Rest,HAZIRLIK,0,1867,425,2126,168,117,45
0.0002,9,Rest,HAZIRLIK,0,3291,1163,3765,301,136,53
0.0002,10,Rest,HAZIRLIK,0,4095,2139,4095,383,123,45
0.0002,11,Rest,HAZIRLIK,0,4095,3340,4095,415,123,45
0.0002,12,Rest,HAZIRLIK,0,4095,4095,4095,463,139,45
0.0002,13,Rest,HAZIRLIK,0,4095,4095,4095,499,125,41
0.0002,14,Rest,HAZIRLIK,0,4095,4095,4095,575,100,40
0.0002,15,Rest,HAZIRLIK,0,4095,4095,4095,589,96,37
0.0002,16,Rest,HAZIRLIK,0,4095,4095,4095,615,93,38
0.0003,17,Rest,HAZIRLIK,0,4095,4095,4095,647,94,40
0.0003,18,Rest,HAZIRLIK,0,4095,4095,4095,679,92,40
0.0003,19,Rest,HAZIRLIK,0,4095,4095,4095,731,119,35
0.0003,20,Rest,HAZIRLIK,0,4095,4095,4095,733,92,39
0.0003,21,Rest,HAZIRLIK,0,4095,4095,4095,767,94,41
0.0014,22,Rest,HAZIRLIK,0,4095,4095,4095,807,91,37
0.0017,23,Rest,HAZIRLIK,0,4095,4095,4095,827,92,40
0.0017,24,Rest,HAZIRLIK,0,3864,4095,3497,795,87,38
0.0021,25,Rest,HAZIRLIK,0,2631,4056,2345,731,74,37
0.0036,26,Rest,HAZIRLIK,0,1415,3198,1099,619,56,28
0.0036,27,Rest,HAZIRLIK,0,163,2295,0,505,51,31
0.0037,28,Rest,HAZIRLIK,0,107,1275,0,487,57,36
0.0057,29,Rest,HAZIRLIK,0,103,236,0,411,59,62
0.0058,30,Rest,HAZIRLIK,0,104,0,0,375,91,39
0.0058,31,Rest,HAZIRLIK,0,103,0,0,343,73,37
0.0059,32,Rest,HAZIRLIK,0,101,0,0,307,78,34
0.0076,33,Rest,HAZIRLIK,0,102,0,0,269,79,31
0.0076,34,Rest,HAZIRLIK,0,101,0,0,235,83,37
0.0076,35,Rest,HAZIRLIK,0,101,0,0,210,72,40
0.0097,36,Rest,HAZIRLIK,0,102,0,0,183,107,19
0.0097,37,Rest,HAZIRLIK,0,101,0,0,159,84,37
0.0097,38,Rest,HAZIRLIK,0,102,0,0,143,85,59
0.0100,39,Rest,HAZIRLIK,0,103,0,0,125,86,37
0.0101,40,Rest,HAZIRLIK,0,107,0,0,110,109,37
0.0115,41,Rest,HAZIRLIK,0,125,0,0,110,87,37
0.0115,42,Rest,HAZIRLIK,0,457,0,601,100,91,39
0.0138,43,Rest,HAZIRLIK,0,1405,247,1660,163,107,41
0.0138,44,Rest,HAZIRLIK,0,2665,892,3003,282,125,56
0.0138,45,Rest,HAZIRLIK,0,4095,1813,4095,361,121,45
0.0139,46,Rest,HAZIRLIK,0,4095,2927,4095,429,118,45
0.0156,47,Rest,HAZIRLIK,0,4095,4095,4095,460,111,42
0.0156,48,Rest,HAZIRLIK,0,4095,4095,4095,520,105,42
0.0157,49,Rest,HAZIRLIK,0,4095,4095,4095,538,101,40
0.0157,50,Rest,HAZIRLIK,0,4095,4095,4095,569,121,61
0.0176,51,Rest,HAZIRLIK,0,4095,4095,4095,611,93,41
0.0176,52,Rest,HAZIRLIK,0,4095,4095,4095,648,91,39
0.0176,53,Rest,HAZIRLIK,0,4095,4095,4095,679,91,73
0.0190,54,Rest,HAZIRLIK,0,4095,4095,4095,701,86,36
0.0190,55,Rest,HAZIRLIK,0,4095,4095,4095,731,91,37
0.0191,56,Rest,HAZIRLIK,0,4095,4095,4095,757,85,37
0.0213,57,Rest,HAZIRLIK,0,4095,4095,4095,780,87,39
0.0213,58,Rest,HAZIRLIK,0,4095,4095,4095,803,89,37
0.0213,59,Rest,HAZIRLIK,0,4095,4095,4095,815,88,39
0.0214,60,Rest,HAZIRLIK,0,3179,4095,2867,767,82,70
0.0241,61,Rest,HAZIRLIK,0,2007,3673,1703,684,62,35
0.0241,62,Rest,HAZIRLIK,0,677,2746,348,555,56,31
0.0242,63,Rest,HAZIRLIK,0,117,1819,0,487,55,31
0.0242,64,Rest,HAZIRLIK,0,105,773,0,441,60,53
0.0245,65,Rest,HAZIRLIK,0,105,0,0,395,87,35
0.0275,66,Rest,HAZIRLIK,0,105,0,0,357,70,35
0.0276,67,Rest,HAZIRLIK,0,104,0,0,331,79,69
0.0276,68,Rest,HAZIRLIK,0,105,0,0,291,75,29
0.0276,69,Rest,HAZIRLIK,0,105,0,0,261,99,54
0.0276,70,Rest,HAZIRLIK,0,103,0,0,223,77,33
0.0278,71,Rest,HAZIRLIK,0,103,0,0,199,83,37
0.0306,72,Rest,HAZIRLIK,0,101,0,0,171,85,55
0.0306,73,Rest,HAZIRLIK,0,103,0,0,180,85,29
0.0306,74,Rest,HAZIRLIK,0,103,0,0,137,85,37
0.0307,75,Rest,HAZIRLIK,0,105,0,0,117,85,36
0.0307,76,Rest,HAZIRLIK,0,119,0,0,106,85,38
0.0321,77,Rest,HAZIRLIK,0,229,0,335,105,87,37
0.0321,78,Rest,HAZIRLIK,0,1035,85,1295,141,103,44
0.0322,79,Rest,HAZIRLIK,0,2196,620,2523,243,118,51
